stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
FAS4_ME_new_13,646,2267.7618847801864,1464974.1775680003,1464974.1775680005,1.4649741775680005,1.4649741775680003
PR5_ME_02,514,2791.2211757821015,1434687.6843520002,1434687.6843520002,1.4346876843520002,1.4346876843520002
FAS6_ME_new_38,569,2475.258614762741,1408422.1517999999,1408422.1517999996,1.4084221517999997,1.4084221518
PR10_ME_31,500,2794.4167042880003,1397208.3521440001,1397208.3521440001,1.3972083521440002,1.3972083521440002
PR10_ME_26,602,2272.735571162791,1368186.8138400002,1368186.8138400002,1.3681868138400002,1.3681868138400002
FAS24_ME_25,639,2135.7281281690143,1364730.2739000001,1364730.2739000001,1.3647302739000002,1.3647302739000002
PR10_ME_33,598,2266.147931826087,1355156.4632320001,1355156.4632320001,1.3551564632320001,1.3551564632320001
PR21_ME_08,678,1966.200988938053,1333084.2704999999,1333084.2704999999,1.3330842705,1.3330842705
FAS6_ME_new_01,732,1816.7613579890713,1329869.3140480001,1329869.3140480001,1.3298693140480002,1.3298693140480002
FAS6_ME_new_06,820,1602.5831636878052,1314118.1942240002,1314118.1942240002,1.3141181942240001,1.3141181942240001
PR21_ME_04,531,2458.5984221167614,1305515.7621440003,1305515.7621440003,1.3055157621440003,1.3055157621440003
PR10_ME_25,543,2401.464700346225,1303995.3322880003,1303995.3322880003,1.3039953322880002,1.3039953322880002
PR5_ME_24,641,2026.6291422652107,1299069.280192,1299069.280192,1.299069280192,1.299069280192
FAS23_ME_20,548,2358.631746213504,1292530.196925,1292530.196925,1.292530196925,1.292530196925
PR6_ME_32,582,2216.7787790515467,1290165.2494080001,1290165.2494080001,1.2901652494080003,1.2901652494080003
PR10_ME_27,533,2414.3160965103193,1286830.4794400001,1286830.4794400001,1.28683047944,1.28683047944
PR10_ME_36,604,2121.54903181457,1281415.6152160002,1281415.6152160002,1.2814156152160003,1.2814156152160003
FAS24_ME_04,581,2202.06963545611,1279402.4582,1279402.4582,1.2794024582,1.2794024582
FAS24_ME_08,552,2291.540897836957,1264930.5756060001,1264930.5756060001,1.264930575606,1.264930575606
PR10_ME_18,585,2160.613231753846,1263958.740576,1263958.7405759997,1.2639587405759998,1.263958740576
FAS6_ME_new_25,625,2005.0524216,1253157.7635,1253157.7635,1.2531577635,1.2531577635
PR17_ME_12,683,1824.4178499267935,1246077.3915,1246077.3915,1.2460773914999999,1.2460773914999999
PR6_ME_43,682,1818.0502873900296,1239910.296,1239910.296,1.2399102960000001,1.2399102960000001
PR20_ME_12,652,1886.5545928481597,1230033.5945370002,1230033.5945370002,1.2300335945370002,1.2300335945370002
