stub,total_fenestration_area_nm2,total_fenestration_area_um2,covered_area_nm2,covered_area_um2,porosity_fraction,porosity_percent
FAS20_ME_05,2900900.1426240006,2.9009001426240006,4209416.753168001,4.209416753168001,0.6891453882395435,68.91453882395436
PR1_ME_10,1513506.237408,1.513506237408,3526226.054064,3.526226054064,0.42921418372020526,42.921418372020526
FAS6_ME_new_26,2103632.9856,2.1036329855999996,5198994.6147,5.1989946147,0.40462303608702366,40.46230360870236
FAS23_ME_16,1629972.18945,1.6299721894499999,4251470.5709999995,4.251470571,0.38339020868880436,38.33902086888044
FAS24_ME_06,1805244.3664320004,1.8052443664320004,5382487.422,5.3824874220000005,0.33539221272554615,33.53922127255461
FAS16_ME_20,710961.0029280001,0.710961002928,2136163.936368,2.1361639363680003,0.3328213676974658,33.28213676974658
PR5_ME_36,1142048.2750720002,1.1420482750720002,3480954.6911360007,3.4809546911360005,0.32808478604451347,32.808478604451345
FAS6_ME_new_38,1408422.1517999996,1.4084221517999997,4330273.8186,4.3302738186,0.3252501367812694,32.52501367812694
FAS20_ME_06,1897563.1458080004,1.8975631458080005,5834369.4932160005,5.834369493216,0.3252387679618886,32.52387679618886
PR21_ME_03,1971250.6454080006,1.9712506454080005,6202353.529680001,6.202353529680001,0.31782300637572714,31.782300637572714
FAS24_ME_05,1926275.3623220003,1.9262753623220004,6207614.908751001,6.207614908751001,0.3103084502884499,31.03084502884499
FAS24_ME_13,2136216.392541,2.1362163925410003,6923550.897790001,6.923550897790001,0.3085434662180184,30.85434662180184
PR21_ME_04,1305515.7621440003,1.3055157621440003,4258563.981408001,4.258563981408001,0.30656243932076843,30.656243932076844
FAS6_ME_new_07,1777502.5356000003,1.7775025356000003,6002457.014928001,6.002457014928001,0.29612915697345005,29.612915697345006
PR13_ME_04,1132125.0403840002,1.1321250403840002,3839814.3888000003,3.8398143888000003,0.29483848065317714,29.483848065317712
FAS6_ME_new_04,1497890.15024,1.4978901502400002,5103696.250576001,5.103696250576001,0.29349124177814245,29.349124177814247
PR21_ME_05,1005961.3182630002,1.0059613182630003,3502544.1954030003,3.5025441954030003,0.2872087437421343,28.72087437421343
PR1_ME_overview28,410889.50003200007,0.4108895000320001,1436286.0668640002,1.436286066864,0.2860777595156513,28.607775951565127
FAS4_ME_new_13,1464974.1775680005,1.4649741775680005,5192054.564576001,5.192054564576001,0.2821569302378152,28.21569302378152
PR5_ME_38,857352.5234560001,0.8573525234560001,3043641.9311360004,3.0436419311360003,0.28168639506684817,28.168639506684816
FAS16_ME_04,1159994.6204000001,1.1599946204000002,4132021.5386560005,4.132021538656001,0.2807329559025738,28.07329559025738
PR13_ME_08,1137918.1575840001,1.137918157584,4129265.78584,4.12926578584,0.2755739680129401,27.55739680129401
PR3_ME_06,101304.581248,0.101304581248,367978.804544,0.367978804544,0.2753000444510298,27.53000444510298
FAS20_ME_26,1622316.3200639999,1.6223163200639998,5993886.029436,5.993886029436,0.2706618564478533,27.066185644785328
FAS6_ME_new_03,1610615.3532480001,1.610615353248,6003857.410848001,6.003857410848001,0.2682634251669399,26.82634251669399
PR13_ME_05,810763.79072,0.81076379072,3055208.226096,3.055208226096,0.2653710420765686,26.53710420765686
FAS23_ME_20,1292530.196925,1.292530196925,4987986.6501,4.9879866501,0.25912863998926045,25.912863998926046
FAS23_ME_07,726374.2655249999,0.726374265525,2859266.01645,2.85926601645,0.25404221270284244,25.404221270284243
PR5_ME_03,1700601.2816640001,1.7006012816640002,6804531.667136001,6.804531667136001,0.24992187043194056,24.992187043194054
PR5_ME_02,1434687.6843520002,1.4346876843520002,5767795.164480001,5.767795164480001,0.24874109489658783,24.87410948965878
FAS20_ME_25,1637783.0340960003,1.6377830340960002,6591543.561504001,6.591543561504001,0.2484673003848442,24.84673003848442
FAS24_ME_14,1162268.4316590002,1.1622684316590002,4679657.868869,4.6796578688690005,0.24836611227305433,24.836611227305433
PR17_ME_23,1536930.9035999998,1.5369309035999998,6198920.1504,6.198920150399999,0.2479352639347719,24.79352639347719
FAS24_ME_27,1505298.796544,1.5052987965440001,6185187.555328,6.1851875553280005,0.24337156845750235,24.337156845750236
PR1_ME_08,416411.68579200003,0.41641168579200005,1721467.7868960002,1.7214677868960002,0.24189339409181573,24.189339409181574
FAS4_ME_new_14,1226520.0951520002,1.2265200951520001,5079996.216768,5.079996216768,0.2414411434212323,24.14411434212323
FAS24_ME_03,1722442.6373330003,1.7224426373330004,7224519.881297001,7.224519881297001,0.23841620836176236,23.841620836176237
FAS19_ME_04,1071346.88266,1.0713468826599999,4496164.475567999,4.4961644755679995,0.23828018046974514,23.828018046974513
