stub,mask_path,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,covered_area_phys2
PR20_ME_27,union_masks\PR20_ME_27_union_mask.npy,3.69,390889,786432,0.4970410664876302,49.704106648763016,5322383.7129,5.3223837129,5322383.7129
PR16_ME_08,union_masks\PR16_ME_08_union_mask.npy,3.616,390780,786432,0.4969024658203125,49.69024658203125,5109626.69568,5.10962669568,5109626.69568
FAS6_ME_new_30,union_masks\FAS6_ME_new_30_union_mask.npy,3.69,387823,786432,0.49314244588216144,49.31424458821614,5280636.7502999995,5.280636750299999,5280636.7502999995
FAS6_ME_new_16,union_masks\FAS6_ME_new_16_union_mask.npy,3.652,384890,786432,0.48941294352213544,48.941294352213546,5133317.958560001,5.133317958560001,5133317.958560001
PR16_ME_18,union_masks\PR16_ME_18_union_mask.npy,3.616,383196,786432,0.4872589111328125,48.72589111328125,5010462.437376,5.010462437376,5010462.437376
FAS6_ME_new_23,union_masks\FAS6_ME_new_23_union_mask.npy,3.69,382878,786432,0.48685455322265625,48.685455322265625,5213305.135799999,5.2133051358,5213305.135799999
FAS6_ME_new_04,union_masks\FAS6_ME_new_04_union_mask.npy,3.652,381320,786432,0.4848734537760417,48.48734537760417,5085704.497280001,5.085704497280001,5085704.497280001
PR16_ME_21,union_masks\PR16_ME_21_union_mask.npy,3.616,380960,786432,0.4844156901041667,48.44156901041667,4981225.71776,4.98122571776,4981225.71776
FAS6_ME_new_19,union_masks\FAS6_ME_new_19_union_mask.npy,3.69,378780,786432,0.4816436767578125,48.16436767578125,5157506.358,5.157506358,5157506.358
FAS6_ME_new_36,union_masks\FAS6_ME_new_36_union_mask.npy,3.69,378691,786432,0.48153050740559894,48.15305074055989,5156294.5251,5.1562945251,5156294.5251
PR16_ME_16,union_masks\PR16_ME_16_union_mask.npy,3.616,377935,786432,0.48056920369466144,48.05692036946614,4941672.46336,4.941672463360001,4941672.46336
PR16_ME_22,union_masks\PR16_ME_22_union_mask.npy,3.616,377453,786432,0.47995630900065106,47.99563090006511,4935370.093568,4.935370093568,4935370.093568
FAS6_ME_new_31,union_masks\FAS6_ME_new_31_union_mask.npy,3.69,376741,786432,0.4790509541829427,47.905095418294266,5129743.1301,5.1297431301,5129743.1301
